Date,AAPL,AMZN,KO,MSFT,NKE
"2012-01-18",15.325357,189.440002,33.794998,28.23,25.215
"2012-01-19",15.276786,194.449997,33.724998,28.120001,25.395
"2012-01-20",15.010715,190.929993,34.044998,29.709999,25.440001
"2012-01-23",15.264643,186.089996,34.264999,29.73,25.389999
"2012-01-24",15.014643,187,33.950001,29.34,25.5525
"2012-01-25",15.952143,187.800003,34.215,29.559999,25.8025
"2012-01-26",15.879642,193.320007,34.005001,29.5,25.575001
"2012-01-27",15.974286,195.369995,33.720001,29.23,25.5275
"2012-01-30",16.178928,192.149994,33.73,29.610001,25.8475
"2012-01-31",16.302856,194.440002,33.764999,29.530001,25.997499
"2012-02-01",16.2925,179.460007,33.924999,29.889999,25.9375
"2012-02-02",16.254286,181.720001,33.915001,29.950001,25.705
"2012-02-03",16.417143,187.679993,34.040001,30.24,25.875
"2012-02-06",16.570356,183.139999,34.014999,30.200001,25.865
"2012-02-07",16.743929,184.190002,34.275002,30.35,26.057501
"2012-02-08",17.024286,185.479996,34.165001,30.66,26.4825
"2012-02-09",17.613214,184.979996,33.985001,30.77,26.440001
"2012-02-10",17.622143,185.539993,33.970001,30.5,26.352501
"2012-02-13",17.950001,191.589996,34.220001,30.58,26.305
"2012-02-14",18.195,191.300003,34.450001,30.25,26.657499
"2012-02-15",17.773928,184.470001,34.200001,30.049999,26.65
"2012-02-16",17.936071,179.929993,34.43,31.290001,26.540001
"2012-02-17",17.932858,182.5,34.525002,31.25,26.67
"2012-02-21",18.387501,182.259995,34.41,31.440001,26.237499
"2012-02-22",18.322857,180.580002,34.625,31.27,26.432501
"2012-02-23",18.442499,178.889999,34.59,31.370001,26.535
"2012-02-24",18.657499,179.130005,34.5,31.48,26.5725
"2012-02-27",18.777143,178.529999,34.415001,31.35,26.7925
"2012-02-28",19.121786,183.800003,34.424999,31.870001,26.8575
"2012-02-29",19.372858,179.690002,34.93,31.74,26.98
"2012-03-01",19.445356,180.039993,34.799999,32.290001,27.135
"2012-03-02",19.470715,179.300003,34.59,32.080002,27.184999
"2012-03-05",19.04143,180.259995,34.615002,31.799999,27.309999
"2012-03-06",18.937857,181.089996,34.380001,31.559999,26.834999
"2012-03-07",18.953215,183.770004,34.395,31.84,26.895
"2012-03-08",19.356785,187.639999,34.634998,32.009998,26.975
"2012-03-09",19.470358,184.320007,34.755001,31.99,27.495001
"2012-03-12",19.714285,183.389999,35.075001,32.040001,27.362499
"2012-03-13",20.289286,184.589996,35.125,32.669998,27.690001
"2012-03-14",21.056429,182.259995,35.110001,32.77,27.575001
"2012-03-15",20.912857,184.429993,35.165001,32.849998,27.682501
"2012-03-16",20.913214,185.050003,35.080002,32.599998,27.805
"2012-03-19",21.467857,185.520004,35.200001,32.200001,28.032499
"2012-03-20",21.641428,192.330002,35.294998,31.99,27.934999
"2012-03-21",21.517857,191.729996,35.560001,31.91,27.610001
"2012-03-22",21.405001,192.399994,35.709999,32,27.747499
"2012-03-23",21.2875,195.039993,35.744999,32.009998,26.855
"2012-03-26",21.677856,202.869995,35.950001,32.59,27.137501
"2012-03-27",21.945715,205.440002,35.935001,32.52,26.969999
"2012-03-28",22.057858,201.160004,36.330002,32.189999,26.807501
"2012-03-29",21.780714,204.610001,36.904999,32.119999,26.9625
"2012-03-30",21.4125,202.509995,37.005001,32.259998,27.110001
"2012-04-02",22.093929,198.050003,37.07,32.290001,27.254999
"2012-04-03",22.475714,199.660004,36.880001,31.940001,27.342501
"2012-04-04",22.296785,193.990005,36.73,31.209999,27.372499
"2012-04-05",22.631428,194.389999,36.735001,31.52,27.5975
"2012-04-09",22.7225,191.869995,36.435001,31.1,27.672501
"2012-04-10",22.444286,186.979996,36.009998,30.469999,26.615
"2012-04-11",22.364286,187.970001,36.060001,30.35,27.0625
"2012-04-12",22.241785,190.690002,36.110001,30.98,27.1625
"2012-04-13",21.615356,188.460007,35.970001,30.809999,27.2925
"2012-04-16",20.718929,185.5,36.220001,31.08,27.35
"2012-04-17",21.775,188.389999,36.974998,31.440001,27.4575
"2012-04-18",21.726429,191.070007,37.084999,31.139999,27.639999
"2012-04-19",20.98,191.100006,36.91,31.01,27.4025
"2012-04-20",20.463572,189.979996,37.064999,32.419998,27.692499
"2012-04-23",20.417856,188.240005,36.845001,32.119999,27.4375
"2012-04-24",20.01,190.330002,37.060001,31.92,26.6875
"2012-04-25",21.785715,194.419998,37.465,32.200001,27.2575
